,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
189,8,32660.0,46239.7,1639,16240.900000000001,60933,31453.483787289235,2.0,1,0.9995678478824547
190,8,28701.0,44746.2,1587,14695.0,60278,29544.875610839626,2.0,1,0.9977836879432624
191,31,29695.0,43878.6,1558,15179.7,59115,29303.05260850504,2.0,1,0.9982494529540481
192,44,32911.0,44672.0,1525,16329.8,58539,30970.152389540126,2.0,1,0.9990990990990991
193,10,27438.0,41665.2,1487,12807.400000000001,56876,27726.015548645046,2.0,1,0.9982261640798226
194,40,31640.0,45179.399999999994,1544,15917.400000000001,59055,30630.64262893656,2.0,1,0.9990880072959416
195,92,30001.0,47980.7,1581,14237.900000000003,60434,30441.484409310495,2.0,1,0.9991224221149627
196,19,29273.0,38631.65,1423,13728.800000000001,53644,27420.58275261324,2.0,1,0.999129677980853
197,6,28329.0,39971.6,1525,15217.849999999999,56332,27770.05438596491,2.0,1,0.9978118161925602
198,62,26052.0,42740.0,1384,12434.400000000005,54172,27163.783892617448,2.0,1,0.9986595174262735
199,18,31225.0,44954.4,1616,16040.900000000001,60139,30545.204614714847,2.0,1,0.9978279756733276
200,5,21034.0,30849.8,2040,9985.6,39371,20307.781764838637,2.0,2,0.9972991222147198
201,1,18130.0,30681.40000000001,2176,9656.6,41955,19797.917335115864,2.0,2,0.9971117529437903
202,8,16903.0,24445.65,1554,7584.600000000001,31404,16124.048394711992,2.0,2,0.9985855728429985
203,2,16076.0,23820.8,1650,4652.6,34210,15328.983484531287,2.0,2,0.9976792759340914
204,5,17494.0,28842.600000000002,1917,7561.8,38069,18214.80954535173,2.0,2,0.9977431730986234
205,5,17384.5,23868.350000000006,1703,9112.85,33344,16707.14674167839,2.0,2,0.9886442641946698
206,3,19403.0,27792.5,1878,10119.7,36866,18856.82284275578,2.0,2,0.9949897517649738
207,4,16536.0,25459.700000000004,1755,7793.4,36216,16998.337607833993,2.0,2,0.9953585518681829
208,1,15659.0,23246.9,1682,5765.4,33335,15520.185471055618,2.0,2,0.9968318624123105
209,3,21212.0,30651.8,2035,10346.2,39277,20113.93844761258,2.0,2,0.9970667870036101
210,4,17094.0,27597.800000000003,1884,8150.0,37765,17844.714678268836,2.0,2,0.9972596483215346
211,4,20112.0,28579.350000000006,1973,10411.35,38850,19463.70998201439,2.0,2,0.9975330791657322
212,10,14555.0,21954.800000000003,1680,7579.000000000001,31455,15483.295500335797,2.0,2,0.9955426788500111
213,32,17563.0,26181.050000000003,1809,9054.7,34874,17451.0704619692,2.0,2,0.9946623346484103
214,5,16756.0,22979.2,1702,9455.0,32696,16319.333942857143,2.0,2,0.9956759217114247
215,2,20234.0,31068.3,1974,8828.7,39528,19807.524660471765,2.0,2,0.9938432394032678
216,2,18517.0,27186.550000000003,1818,9077.35,35578,18072.73413417951,2.0,2,0.9936936936936936
217,4,19936.0,32203.600000000006,2158,7322.6,42379,20289.085390713477,2.0,2,0.9957149300857014
218,2,15890.0,24969.200000000004,1895,7675.8,36167,16609.7222851961,2.0,2,0.9961607949412827
219,2,20335.0,34329.600000000006,2266,10437.800000000003,45240,21723.07256596906,2.0,2,0.9961477452979832
220,1,10782.0,16140.6,1533,6070.700000000001,19732,10885.77253685027,2.0,3,0.9956743395643441
221,2,10966.0,18223.050000000003,1852,5110.35,24106,11601.674393279403,2.0,3,0.9909048866964698
222,2,9478.0,12518.6,1324,3965.0,17457,8862.799002027132,2.0,3,0.9973561430793157
223,1,11770.0,16981.300000000003,1485,6432.7,20308,11259.968096639306,2.0,3,0.9873088685015291
224,10,10876.5,16766.15,1600,4755.75,21721,11070.910057733212,2.0,3,0.9957639939485627
225,1,8824.5,14927.3,1656,4412.300000000002,21950,9737.859885750555,2.0,3,0.9883939774153074
226,2,14278.0,18490.4,1713,6431.45,23563,12652.072715972654,2.0,3,0.997829457364341
227,1,13509.0,17767.55,1785,7426.8,23978,12385.217613273771,2.0,3,0.9930291508238276
228,1,11084.0,16635.3,1752,7917.0,22573,11600.779053529868,2.0,3,0.9950594410992744
229,1,10092.5,17802.3,1853,5238.0,23400,10977.895696353855,2.0,3,0.991701244813278
230,1,4621.0,9806.6,992,1591.7,13164,5672.571087406464,2.0,3,0.9803340096769159
231,2,8775.0,12173.0,1145,5580.7,15117,8586.477241166487,2.0,3,0.9944759858830751
232,1,11630.0,15145.800000000003,1452,5838.2,19881,10670.78646404512,2.0,3,0.9920733602735468
233,1,7815.0,12309.2,1223,2871.1000000000004,15846,8105.161721752498,2.0,3,0.9934331093463653
234,1,6979.0,9596.400000000001,1135,3329.0,14413,6569.943075745983,2.0,3,0.9963409056258576
235,1,10828.0,15775.0,1578,4414.250000000001,20252,10183.632537496174,2.0,3,0.9946719439792967
236,1,11383.0,15398.550000000001,1506,5372.0,20124,10517.270354257304,2.0,3,0.9919852034525277
237,1,9198.0,11325.8,1068,3637.0,14983,8018.17002698841,2.0,3,0.9883885140436215
238,1,7328.0,12153.6,1203,4208.2,16202,8150.804006833359,2.0,3,0.9965949543414332
239,1,10992.5,16866.550000000003,1755,5292.45,22586,10974.173985463356,2.0,3,0.9956279210010553
